sort_4.24,any_farm,cow_id,quarter,cowid_quarter,cow_id_quarter_visit,lactation,date,visit,farm,order,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,scc,contam,contam_comment,dup_a_cfu_count,dup_b_cfu_count,more_than_2_org_present,actually_disclude,disclude_can't_determine_status,disclude_blind,disclude_dupmissing,disclude_samplingerror,disclude_contam,IMI_NAS_or_MAM,IMI_NAS_only,IMI_S_chromogenes,IMI_S_haemolyticus,IMI_S_simulans,IMI_S_equorum,IMI_S_agnetis,IMI_S_devriesei,IMI_S_warneri,IMI_S_xylosus,IMI_M_sciuri,IMI_S_auricularis,IMI_S_capitis,IMI_S_cohnii,IMI_S_epidermidis,IMI_M_fleurettii,IMI_S_gallinarum,IMI_S_hominis,IMI_S_pseudintermedius,IMI_S_saprophyticus,IMI_S_succinus,IMI_S_hyicus,IMI_M_vitilinus,IMI_2014env,IMI_2014opp,IMI_2014host,IMI_2017rel,IMI_2017host,IMI_2017env,quarter_position_dup,lactation_dup,lact_grp,first_DIM,first_hygiene_pick_one,farm_hygiene_avg,facility_type,bedding_facility_combo,bedding_material,pred_breed,herd_size,herd_size_cat,rolling_herd_avg,sel_feed,air_quality_prod,age_fac,lying_surface,bp_fed_on_pack,bp_num_cows_on_pack,bp_pack_area,bp_cow_density,bp_stock_dens_perc,wood_dried,wood_storage,bedding_conditioner,freq_add_new_bedding_stall_wk,freq_stall_scraping_wk,depth_bedding_stalls,bp_freq_tilling_wk,bp_depth_tilled_in,bp_attentiveness,bp_bedding_depth,milking_sys,forestrip,towel_num,gloves,mast_det_recc,mast_record,culture_mast,culture_scc,culture_fresh,culture_dry,culture_loc,dry_prod,sel_supp,ind_hygiene_a,ind_hygiene_b,ind_hygiene_avg
1608,BJ,745_BJ,LH,745_BJ_LH,745_BJ_LH_third,2,2.26.2020,third,BJ,25,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,2,c,1,22000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,2,second,286,2,2.5,TS,TS_SH,SH,Holstein,61,61_80,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ,2,1,1.5
1609,BJ,754_BJ,LH,754_BJ_LH,754_BJ_LH_third,1,2.26.2020,third,BJ,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,2,c,3,8000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,1,first,203,1,2.5,TS,TS_SH,SH,Holstein,61,61_80,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ,2,3,2.5
1610,BJ,754_BJ,RH,754_BJ_RH,754_BJ_RH_third,1,2.26.2020,third,BJ,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,2,c,3,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,203,1,2.5,TS,TS_SH,SH,Holstein,61,61_80,15500,y,good,49,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,35,3.81,NA,NA,NA,NA,tiestall,y,dep_two,no_some,y,never,never,never,never,never,never,y,occ,2,3,2.5
1611,Butterworks,hawthorn_Butterworks,LF,hawthorn_Butterworks_LF,hawthorn_Butterworks_LF_third,5,3.3.2020,third,Butterworks,16,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,2,c,1,18000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,5,fourth_plus,225,2,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,2,1,1.5
1612,Butterworks,hawthorn_Butterworks,RF,hawthorn_Butterworks_RF,hawthorn_Butterworks_RF_third,5,3.3.2020,third,Butterworks,16,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,2,c,1,19000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,5,fourth_plus,225,2,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,2,1,1.5
1613,Butterworks,joy_Butterworks,LF,joy_Butterworks_LF,joy_Butterworks_LF_third,1,3.3.2020,third,Butterworks,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,2,c,2,3000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,1,first,70,1,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,2,2,2
1614,Butterworks,joy_Butterworks,LH,joy_Butterworks_LH,joy_Butterworks_LH_third,1,3.3.2020,third,Butterworks,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,2,c,2,6000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,1,first,70,1,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,2,2,2
1615,Butterworks,joy_Butterworks,RF,joy_Butterworks_RF,joy_Butterworks_RF_third,1,3.3.2020,third,Butterworks,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,2,c,2,4000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,70,1,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,2,2,2
1616,Butterworks,snowball_Butterworks,LF,snowball_Butterworks_LF,snowball_Butterworks_LF_third,1,3.3.2020,third,Butterworks,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,3,c,2,20000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,1,first,179,1,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,3,2,2.5
1617,Butterworks,petunia_Butterworks,LF,petunia_Butterworks_LF,petunia_Butterworks_LF_third,1,3.3.2020,third,Butterworks,29,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,3,c,2,10000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,1,first,242,1,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,3,2,2.5
1618,Butterworks,petunia_Butterworks,RF,petunia_Butterworks_RF,petunia_Butterworks_RF_third,1,3.3.2020,third,Butterworks,29,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,3,c,2,140000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,242,1,2,BP,BP_WF,WC_FI,Jersey,44,44_60,11794,y,poor_fair,10,deep,y,44,339.653368,7.7,1.025974026,fresh_raw,NA,y,NA,NA,NA,0,NA,0.7,1.7,tiestall,n,one,all,y,always,sometimes,never,never,never,vet,n,no,3,2,2.5
1619,Choiniere,56_Choiniere,LH,56_Choiniere_LH,56_Choiniere_LH_third,3,2.17.2020,third,Choiniere,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,NA,NA,2000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,3,third,75,2,2.1,BP,BP_WF,WC_FI,Holstein,82,81_105,12000,y,poor_fair,15,deep,y,55,562.8528255,10.23368774,0.907786151,fresh_raw,NA,y,NA,NA,NA,3.5,10.16,1,1.2,tiestall,n,one,no_some,y,never,never,never,never,never,never,n,no,2,NA,2
1620,Choiniere,56_Choiniere,RF,56_Choiniere_RF,56_Choiniere_RF_third,3,2.17.2020,third,Choiniere,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,NA,NA,6000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,3,third,75,2,2.1,BP,BP_WF,WC_FI,Holstein,82,81_105,12000,y,poor_fair,15,deep,y,55,562.8528255,10.23368774,0.907786151,fresh_raw,NA,y,NA,NA,NA,3.5,10.16,1,1.2,tiestall,n,one,no_some,y,never,never,never,never,never,never,n,no,2,NA,2
1621,Choiniere,56_Choiniere,RH,56_Choiniere_RH,56_Choiniere_RH_third,3,2.17.2020,third,Choiniere,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,NA,NA,6000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,3,third,75,2,2.1,BP,BP_WF,WC_FI,Holstein,82,81_105,12000,y,poor_fair,15,deep,y,55,562.8528255,10.23368774,0.907786151,fresh_raw,NA,y,NA,NA,NA,3.5,10.16,1,1.2,tiestall,n,one,no_some,y,never,never,never,never,never,never,n,no,2,NA,2
1622,Glennview,80_Glennview,RF,80_Glennview_RF,80_Glennview_RF_third,4,3.19.2020,third,Glennview,18,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,3600000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,4,fourth_plus,110,2,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,1,2,1.5
1623,Glennview,84_Glennview,LF,84_Glennview_LF,84_Glennview_LF_third,4,3.19.2020,third,Glennview,32,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,14000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,4,fourth_plus,157,2,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,1,2,1.5
1624,Glennview,84_Glennview,RF,84_Glennview_RF,84_Glennview_RF_third,4,3.19.2020,third,Glennview,32,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,13000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,4,fourth_plus,157,2,2.2,TS,TS_SH,SH,Jersey,70,61_80,15200,n,good,61,mat_conc,NA,NA,NA,NA,NA,kiln_dried,under_cover,y,21,56,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,always,sometimes,sometimes,issue,sometimes_issue,vet,y,occ,1,2,1.5
1625,OughtaBe,rabbit_OughtaBe,LH,rabbit_OughtaBe_LH,rabbit_OughtaBe_LH_third,1,3.12.2020,third,OughtaBe,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,1,16000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,1,first,286,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,1,1
1626,OughtaBe,rabbit_OughtaBe,RH,rabbit_OughtaBe_RH,rabbit_OughtaBe_RH_third,1,3.12.2020,third,OughtaBe,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,286,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,1,1
1627,OughtaBe,tess_OughtaBe,LF,tess_OughtaBe_LF,tess_OughtaBe_LF_third,3,3.12.2020,third,OughtaBe,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LF,3,third,236,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,2,1.5
1628,OughtaBe,tess_OughtaBe,LH,tess_OughtaBe_LH,tess_OughtaBe_LH_third,3,3.12.2020,third,OughtaBe,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,3,third,236,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,2,1.5
1629,OughtaBe,tess_OughtaBe,RF,tess_OughtaBe_RF,tess_OughtaBe_RF_third,3,3.12.2020,third,OughtaBe,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,3,third,236,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,2,1.5
1630,OughtaBe,tess_OughtaBe,RH,tess_OughtaBe_RH,tess_OughtaBe_RH_third,3,3.12.2020,third,OughtaBe,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,3,third,236,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,2,1.5
1631,OughtaBe,mschar_OughtaBe,RF,mschar_OughtaBe_RF,mschar_OughtaBe_RF_third,2,3.12.2020,third,OughtaBe,19,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yesonedup,NA,NA,NA,j,1,c,2,70000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,2,second,278,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,2,1.5
1632,OughtaBe,mschar_OughtaBe,RH,mschar_OughtaBe_RH,mschar_OughtaBe_RH_third,2,3.12.2020,third,OughtaBe,19,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,1100000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,2,second,278,2,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,1,2,1.5
1633,OughtaBe,alf_OughtaBe,RH,alf_OughtaBe_RH,alf_OughtaBe_RH_third,3,3.12.2020,third,OughtaBe,22,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,2,c,3,33000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,3,third,300,1,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,2,3,2.5
1634,OughtaBe,spice_OughtaBe,LH,spice_OughtaBe_LH,spice_OughtaBe_LH_third,2,3.12.2020,third,OughtaBe,21,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,3,c,2,8000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,2,second,333,1,2.3,TS,TS_SH,SH,Jersey,70,61_80,13500,n,poor_fair,64,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,28,28,2.54,NA,NA,NA,NA,tiestall,y,one,all,n,never,sometimes,sometimes,never,never,ref,n,reg,3,2,2.5
1635,Paddlebridge,germ1140_Paddlebridge,RF,germ1140_Paddlebridge_RF,germ1140_Paddlebridge_RF_third,4,3.20.2020,third,Paddlebridge,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,1,4000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,4,fourth_plus,109,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,1,1
1636,Paddlebridge,kwikmix36_Paddlebridge,LH,kwikmix36_Paddlebridge_LH,kwikmix36_Paddlebridge_LH_third,1,3.20.2020,third,Paddlebridge,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,23000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,1,first,83,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,2,1.5
1637,Paddlebridge,kwikmix36_Paddlebridge,RF,kwikmix36_Paddlebridge_RF,kwikmix36_Paddlebridge_RF_third,1,3.20.2020,third,Paddlebridge,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,5000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RF,1,first,83,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,2,1.5
1638,Paddlebridge,kwikmix36_Paddlebridge,RH,kwikmix36_Paddlebridge_RH,kwikmix36_Paddlebridge_RH_third,1,3.20.2020,third,Paddlebridge,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,9000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RH,1,first,83,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,2,1.5
1639,Paddlebridge,vida6_Paddlebridge,LH,vida6_Paddlebridge_LH,vida6_Paddlebridge_LH_third,2,3.20.2020,third,Paddlebridge,23,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,j,1,c,2,37000,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LH,2,second,201,2,1.7,TS,TS_SH,SH,Holstein,56,44_60,21204,n,good,50,mat_conc,NA,NA,NA,NA,NA,fresh_raw,under_cover,n,14,14,6.35,NA,NA,NA,NA,tiestall,y,one,no_some,y,never,always,sometimes,never,never,vet,n,no,1,2,1.5
