,,cow_id,quarter,1_date,1_visit,1_farm,1_order,1_path_1,1_path1_imi,1_path_2,1_path2_imi,1_path_3,1_path3_imi,1_path_4,1_path4_imi,1_quarter_code,1_isolate_1,1_path_1_maldi_final_id,1_fix_1,1_isolate_2,1_path_2_maldi_final_id,1_fix_2,1_isolate_3,1_path_3_maldi_final_id,1_fix_3,1_isolate_4,1_path_4_maldi_final_id,1_fix_4,1_clinical,1_blind,1_teatinj,1_pstmilking,1_mixed_inf_series,1_dup_not_collected,1_imi_series,1_hygiene_scorer_1,1_hygiene_1,1_hygiene_scorer_2,1_hygiene_2,1_cc_1,1_cc_2,1_cc_3,1_scc,1_contam,1_contam_comment,1_dup_a_cfu_count,1_dup_b_cfu_count,1_more_than_2_org_present,2_date,2_visit,2_farm,2_order,2_path_1,2_path1_imi,2_path_2,2_path2_imi,2_path_3,2_path3_imi,2_path_4,2_path4_imi,2_quarter_code,2_isolate_1,2_path_1_maldi_final_id,2_fix_1,2_isolate_2,2_path_2_maldi_final_id,2_fix_2,2_isolate_3,2_path_3_maldi_final_id,2_fix_3,2_isolate_4,2_path_4_maldi_final_id,2_fix_4,2_clinical,2_blind,2_teatinj,2_pstmilking,2_mixed_inf_series,2_dup_not_collected,2_imi_series,2_hygiene_scorer_1,2_hygiene_1,2_hygiene_scorer_2,2_hygiene_2,2_cc_1,2_cc_2,2_cc_3,2_scc,2_contam,2_contam_comment,2_dup_a_cfu_count,2_dup_b_cfu_count,2_more_than_2_org_present
1211,A1211,peace_Butterworks,RF,1.2.2020,first,Butterworks,28,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,7000,yes,minor,,,,2.4.2020,second,Butterworks,29,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,7000,,,,,
1212,A1212,peace_Butterworks,RH,1.2.2020,first,Butterworks,28,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,14000,,,,,,2.4.2020,second,Butterworks,29,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,42000,,,,,
1213,A1213,peaches_StonyPond,LF,12.12.2019,first,StonyPond,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,21000,,,,,,1.10.2020,second,StonyPond,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,65000,,,,,
1214,A1214,peaches_StonyPond,LH,12.12.2019,first,StonyPond,6,cns,yes2,,,,,,,2,sp011,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,192000,,,tntc,tntc,,1.10.2020,second,StonyPond,1,cns,yes2,,,,,,,2,sp033,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,240000,,,tntc,tntc,
1215,A1215,peaches_StonyPond,RF,12.12.2019,first,StonyPond,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,21000,,,,,,1.10.2020,second,StonyPond,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,77000,,,,,
1216,A1216,peaches_StonyPond,RH,12.12.2019,first,StonyPond,6,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,1,NA,NA,NA,NA,NA,NA,,,,,,1.10.2020,second,StonyPond,1,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,1,NA,NA,NA,NA,NA,NA,,,,,
1217,A1217,peacock_OughtaBe,LF,1.3.2020,first,OughtaBe,33,cns,yes2,,,,,,,2,ob046,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,770000,,,tntc,50,,2.14.2020,second,OughtaBe,37,cns,yes2,,,,,,,2,ob109,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,2,c,2,NA,NA,NA,1400000,,,10,13,
1218,A1218,peacock_OughtaBe,LH,1.3.2020,first,OughtaBe,33,cns,yes2,,,,,,,2,ob045,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,240000,,,tntc,tntc,,2.14.2020,second,OughtaBe,37,cns,yes2,,,,,,,2,ob108,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,2,c,2,NA,NA,NA,580000,,,21,8,
1219,A1219,peacock_OughtaBe,RF,1.3.2020,first,OughtaBe,33,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,6000,,,,,,2.14.2020,second,OughtaBe,37,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,490000,,,,,
1220,A1220,peacock_OughtaBe,RH,1.3.2020,first,OughtaBe,33,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,20000,,,,,,2.14.2020,second,OughtaBe,37,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,53000,,,,,
1221,A1221,pearl_Butterworks,LF,1.2.2020,first,Butterworks,10,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,190000,,,,,,2.4.2020,second,Butterworks,7,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,t,4,c,3,NA,NA,NA,43000,,,,,
1222,A1222,pearl_Butterworks,LH,1.2.2020,first,Butterworks,10,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,13000,,,,,,2.4.2020,second,Butterworks,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,4,c,3,NA,NA,NA,45000,,,,,
1223,A1223,pearl_Butterworks,RF,1.2.2020,first,Butterworks,10,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,14000,,,,,,2.4.2020,second,Butterworks,7,cns,yes2,,,,,,,2,bw078,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,4,c,3,NA,NA,NA,86000,,,25,28,
1224,A1224,pearl_Butterworks,RH,1.2.2020,first,Butterworks,10,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,15000,,,,,,2.4.2020,second,Butterworks,7,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,t,4,c,3,NA,NA,NA,36000,,,,,
1225,A1225,peggie_StonyPond,LF,12.12.2019,first,StonyPond,20,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,20000,,,,,,1.10.2020,second,StonyPond,13,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,46000,,,,,
1226,A1226,peggie_StonyPond,LH,12.12.2019,first,StonyPond,20,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,52000,,,,,,1.10.2020,second,StonyPond,13,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,29000,,,,,
1227,A1227,peggie_StonyPond,RF,12.12.2019,first,StonyPond,20,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,31000,,,,,,1.10.2020,second,StonyPond,13,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,74000,,,,,
1228,A1228,peggie_StonyPond,RH,12.12.2019,first,StonyPond,20,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,24000,,,,,,1.10.2020,second,StonyPond,13,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,47000,,,,,
1229,A1229,penny_OughtaBe,LF,1.3.2020,first,OughtaBe,29,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,4,NA,NA,NA,0,,,,,,2.14.2020,second,OughtaBe,32,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,4,NA,NA,NA,4000,,,,,
1230,A1230,penny_OughtaBe,LH,1.3.2020,first,OughtaBe,29,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,4,NA,NA,NA,6000,,,,,,2.14.2020,second,OughtaBe,32,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,4,NA,NA,NA,0,,,,,
1231,A1231,penny_OughtaBe,RF,1.3.2020,first,OughtaBe,29,weissella,yes2,,,,,,,2,ob039,weissella hellenica,yes_from_corynebac_to_weissella,,,,,,,,,,,,,,no,,yes,j,3,c,4,NA,NA,NA,2000,,,3,1,,2.14.2020,second,OughtaBe,32,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,4,NA,NA,NA,2000,,,,,
1232,A1232,penny_OughtaBe,RH,1.3.2020,first,OughtaBe,29,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,4,NA,NA,NA,2000,,,,,,2.14.2020,second,OughtaBe,32,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,4,NA,NA,NA,3000,,,,,
1233,A1233,peonie_OughtaBe,LF,1.3.2020,first,OughtaBe,14,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,NA,c,NA,NA,NA,NA,8000,,,,,,2.14.2020,second,OughtaBe,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,6000,,,,,
1234,A1234,peonie_OughtaBe,LH,1.3.2020,first,OughtaBe,14,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,NA,c,NA,NA,NA,NA,8000,,,,,,2.14.2020,second,OughtaBe,15,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,13000,,,,,
1235,A1235,peonie_OughtaBe,RF,1.3.2020,first,OughtaBe,14,cns,other12,,,,,,,12,ob018,staphylococcus simulans,,,,,,,,,,,,,,,,,no,j,NA,c,NA,NA,NA,NA,54000,,,cont,cont,,2.14.2020,second,OughtaBe,15,cns,yes2,,,,,,,2,ob073,staphylococcus simulans,,,,,,,,,,,,,,,no,,yes,t,3,c,2,NA,NA,NA,240000,,,13,15,
1236,A1236,peonie_OughtaBe,RH,1.3.2020,first,OughtaBe,14,corynebac,yes27,strep,yes27,,,,,27,ob016,no id,yes_nochange,ob017,aerococcus viridans,,,,,,,,,,,,yes,,yes,j,NA,c,NA,NA,NA,NA,8000,,,,,yes,2.14.2020,second,OughtaBe,15,corynebac,other12,,,,,,,12,ob072,corynebacterium amycolatum,,,,,,,,,,,,,,,,,no,t,3,c,2,NA,NA,NA,9000,,,cont,,
1237,A1237,petunia_Butterworks,LF,1.2.2020,first,Butterworks,26,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,7000,,,,,,2.4.2020,second,Butterworks,27,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,1,c,1,NA,NA,NA,10000,,,,,
1238,A1238,petunia_Butterworks,LH,1.2.2020,first,Butterworks,26,cns,yes2,,,,,,,2,bw046,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,c,3,NA,NA,NA,83000,,,30,50,,2.4.2020,second,Butterworks,27,cns,yes2,,,,,,,2,bw099,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,1,c,1,NA,NA,NA,99000,,,34,32,
1239,A1239,petunia_Butterworks,RF,1.2.2020,first,Butterworks,26,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,58000,,,,,,2.4.2020,second,Butterworks,27,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,t,1,c,1,NA,NA,NA,360000,,,,,
1240,A1240,petunia_Butterworks,RH,1.2.2020,first,Butterworks,26,strep,yes2,,,,,,,2,bw047,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,j,3,c,3,NA,NA,NA,3000000,,,tntc,tntc,,2.4.2020,second,Butterworks,27,strep,yes2,,,,,,,2,bw100,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,t,1,c,1,NA,NA,NA,18000000,,,50,45,
1241,A1241,pg_OughtaBe,LF,1.3.2020,first,OughtaBe,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,3,NA,NA,NA,16000,,,,,,2.14.2020,second,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,58000,,,,,
1242,A1242,pg_OughtaBe,LH,1.3.2020,first,OughtaBe,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,3,NA,NA,NA,13000,,,,,,2.14.2020,second,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,57000,,,,,
1243,A1243,pg_OughtaBe,RF,1.3.2020,first,OughtaBe,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,3,NA,NA,NA,15000,,,,,,2.14.2020,second,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,62000,,,,,
1244,A1244,pg_OughtaBe,RH,1.3.2020,first,OughtaBe,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,3,NA,NA,NA,15000,,,,,,2.14.2020,second,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,57000,,,,,
1245,A1245,picknick_Swallowdale,LF,12.13.2019,first,Swallowdale,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,3000,,,,,,1.22.2020,second,Swallowdale,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,3000,,,,,
1246,A1246,picknick_Swallowdale,LH,12.13.2019,first,Swallowdale,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,4000,,,,,,1.22.2020,second,Swallowdale,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,2000,,,,,
1247,A1247,picknick_Swallowdale,RF,12.13.2019,first,Swallowdale,3,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,2000,,,,,,1.22.2020,second,Swallowdale,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,2000,,,,,
1248,A1248,picknick_Swallowdale,RH,12.13.2019,first,Swallowdale,3,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,3000,,,,,,1.22.2020,second,Swallowdale,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,2000,,,,,
1249,A1249,pippa_StonyPond,LF,12.12.2019,first,StonyPond,8,cns,yes2,,,,,,,2,sp013,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,100000,,,30,8,,1.10.2020,second,StonyPond,3,cns,yes2,,,,,,,2,sp037,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,500000,,,tntc,30,
1250,A1250,pippa_StonyPond,LH,12.12.2019,first,StonyPond,8,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,68000,,,,,,1.10.2020,second,StonyPond,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,160000,,,,,
1251,A1251,pippa_StonyPond,RF,12.12.2019,first,StonyPond,8,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,2570000,,,,,,1.10.2020,second,StonyPond,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,2900000,,,,,
1252,A1252,pippa_StonyPond,RH,12.12.2019,first,StonyPond,8,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,15000,,,,,,1.10.2020,second,StonyPond,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,150000,,,,,
1253,A1253,pistol_OughtaBe,LF,1.3.2020,first,OughtaBe,21,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,3,c,3,NA,NA,NA,NA,,,,,,2.14.2020,second,OughtaBe,27,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,t,3,c,3,NA,NA,NA,NA,,,,,
1254,A1254,pistol_OughtaBe,LH,1.3.2020,first,OughtaBe,21,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,8000,,,,,,2.14.2020,second,OughtaBe,27,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,t,3,c,3,NA,NA,NA,4000,,,,,
1255,A1255,pistol_OughtaBe,RF,1.3.2020,first,OughtaBe,21,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,4000,,,,,,2.14.2020,second,OughtaBe,27,sa,yes2,,,,,,,2,ob094,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,t,3,c,3,NA,NA,NA,11000,,,50,tntc,
1256,A1256,pistol_OughtaBe,RH,1.3.2020,first,OughtaBe,21,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,4000,,,,,,2.14.2020,second,OughtaBe,27,strep,yes27,cns,yes27,,,,,27,ob092,streptococcus uberis,,ob093,staphylococcus chromogenes,,,,,,,,,,,,yes,,yes,t,3,c,3,NA,NA,NA,260000,,,,,yes
1257,A1257,plantain_Butterworks,LF,1.2.2020,first,Butterworks,33,sa,yes2,,,,,,,2,bw064,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,470000,,,tntc,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258,A1258,plantain_Butterworks,LH,1.2.2020,first,Butterworks,33,cns,yes2,,,,,,,2,bw063,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,89000,,,30,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259,A1259,plantain_Butterworks,RF,1.2.2020,first,Butterworks,33,strep,yes27,corynebac,yes27,,,,,27,bw065,streptococcus uberis,,bw066,corynebacterium species,,,,,,,,,,,,yes,,yes,j,1,c,2,NA,NA,NA,930000,,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,A1260,plantain_Butterworks,RH,1.2.2020,first,Butterworks,33,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,11000,yes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1261,A1261,pledge_Swallowdale,LF,12.13.2019,first,Swallowdale,1,cns,yes2,,,,,,,2,sw002,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,87000,,,16,5,,1.22.2020,second,Swallowdale,32,cns,yes2,,,,,,,2,sw087,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,230000,,,30,50,
1262,A1262,pledge_Swallowdale,LH,12.13.2019,first,Swallowdale,1,strep,yes1,,,,,,,1,sw001,aerococcus viridans,,,,,,,,,,,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,4000,,,1,1,,1.22.2020,second,Swallowdale,32,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,2000,,,,,
1263,A1263,pledge_Swallowdale,RF,12.13.2019,first,Swallowdale,1,cns,yes2,,,,,,,2,sw004,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,172000,,,tntc,35,,1.22.2020,second,Swallowdale,32,cns,yes2,,,,,,,2,sw089,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,140000,,,tntc,tntc,
1264,A1264,pledge_Swallowdale,RH,12.13.2019,first,Swallowdale,1,cns,yes2,,,,,,,2,sw003,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,59000,,,27,8,,1.22.2020,second,Swallowdale,32,cns,yes2,,,,,,,2,sw088,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,84000,,,20,tntc,
1265,A1265,pomme_Butterworks,LF,1.2.2020,first,Butterworks,6,cns,other12,corynebac,other12,,,,,12,bw006,staphylococcus chromogenes,,bw009,corynebacterium species,,,,,,,,,,,,,,no,j,2,c,3,NA,NA,NA,61000,,,,,yes,2.4.2020,second,Butterworks,5,cns,yes1,,,,,,,1,bw074,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,2,c,2,NA,NA,NA,40000,,,29,36,
1266,A1266,pomme_Butterworks,LH,1.2.2020,first,Butterworks,6,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,180000,,,,,,2.4.2020,second,Butterworks,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,6000,,,,,
1267,A1267,pomme_Butterworks,RF,1.2.2020,first,Butterworks,6,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,54000,yes,,,,,2.4.2020,second,Butterworks,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,t,2,c,2,NA,NA,NA,11000,,,,,
1268,A1268,pomme_Butterworks,RH,1.2.2020,first,Butterworks,6,strep,yes27,cns,yes27,,,,,27,bw007,streptococcus species,,bw008,staphylococcus haemolyticus,,,,,,,,,,,,yes,,yes,j,2,c,3,NA,NA,NA,54000,,,,,yes,2.4.2020,second,Butterworks,5,strep,yes27,cns,yes27,,,,,27,bw075,no id,yes_nochange,bw076,staphylococcus haemolyticus,,,,,,,,,,,,yes,,yes,t,2,c,2,NA,NA,NA,230000,,,,,yes
1269,A1269,quantum_Swallowdale,LF,12.13.2019,first,Swallowdale,14,cns,yes2,,,,,,,2,sw026,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,15000,,,14,50,,1.22.2020,second,Swallowdale,15,cns,yes2,,,,,,,2,sw074,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,52000,,,30,50,
1270,A1270,quantum_Swallowdale,LH,12.13.2019,first,Swallowdale,14,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,6000,,,,,,1.22.2020,second,Swallowdale,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,5000,,,,,
1271,A1271,quantum_Swallowdale,RF,12.13.2019,first,Swallowdale,14,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,9000,,,,,,1.22.2020,second,Swallowdale,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,7000,,,,,
1272,A1272,quantum_Swallowdale,RH,12.13.2019,first,Swallowdale,14,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,10000,,,,,,1.22.2020,second,Swallowdale,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,NA,NA,NA,NA,NA,6000,,,,,
1273,A1273,rabbit_OughtaBe,LF,1.3.2020,first,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,4000,,,,,,2.14.2020,second,OughtaBe,5,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,4000,,,,,
1274,A1274,rabbit_OughtaBe,LH,1.3.2020,first,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,5000,,,,,,2.14.2020,second,OughtaBe,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,6000,,,,,
1275,A1275,rabbit_OughtaBe,RF,1.3.2020,first,OughtaBe,7,cns,yes2,,,,,,,2,ob004,staphylococcus warneri,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,300000,,,50,50,,2.14.2020,second,OughtaBe,5,cns,yes1,,,,,,,1,ob061,staphylococcus warneri,,,,,,,,,,,,,,,no,,yes,t,3,c,2,NA,NA,NA,300000,,,23,8,
1276,A1276,rabbit_OughtaBe,RH,1.3.2020,first,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,6000,,,,,,2.14.2020,second,OughtaBe,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,3,c,2,NA,NA,NA,6000,,,,,
1277,A1277,racer_OughtaBe,LF,1.3.2020,first,OughtaBe,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,18000,,,,,,2.14.2020,second,OughtaBe,13,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,4,c,3,NA,NA,NA,29000,,,,,
1278,A1278,racer_OughtaBe,LH,1.3.2020,first,OughtaBe,11,cns,yes2,,,,,,,2,ob014,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,370000,,,30,3,,2.14.2020,second,OughtaBe,13,cns,yes2,,,,,,,2,ob069,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,t,4,c,3,NA,NA,NA,630000,,,4,8,
1279,A1279,racer_OughtaBe,RF,1.3.2020,first,OughtaBe,11,cns,yes2,,,,,,,2,ob015,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,250000,,,20,17,,2.14.2020,second,OughtaBe,13,cns,yes2,,,,,,,2,ob070,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,t,4,c,3,NA,NA,NA,150000,,,11,10,
1280,A1280,racer_OughtaBe,RH,1.3.2020,first,OughtaBe,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,10000,,,,,,2.14.2020,second,OughtaBe,13,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,t,4,c,3,NA,NA,NA,12000,,,,,
1281,A1281,rashida_StonyPond,LF,12.12.2019,first,StonyPond,22,cns,yes2,,,,,,,2,sp027,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,2496000,,,50,tntc,,1.10.2020,second,StonyPond,20,cns,yes2,,,,,,,2,sp055,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,NA,NA,NA,NA,NA,3100000,,,50,tntc,
